"id","name","dept","h_index","i10index","min_year","max_year","t_publication","t_pubs_citations","highest_citations","mean_of_IF","mean_of_co_authors","num_nsf","t_deflated_nsf","num_nih","t_deflated_nih","Y05yr","KTotal","KDirect","KMediated","Chi","BetCentrality","PRCentrality","XDIndicator","SchoolRank","first_xd_year","xd_dept"
"0XV1sFsAAAAJ","SIMON SINSING LAM ","CS",51,123,1973,2015,149,11459,1330,1.555,2.537,11,6153476,0,0,1970,205,6,199,0.11214953271028,2166.98404531049,0.000179439635555207,"CS",9,NA,"CS"
"0XwGb10AAAAJ","CHRIS PIERRET ","BIO",8,8,2006,2014,14,165,33,2.457,5.786,0,0,0,0,2005,23,1,22,0.0576923076923077,0,8.58311083125571e-05,"BIO",38,NA,"BIO"
"0y6JDD4AAAAJ","MAHADEV SATYANARAYANAN ","CS",68,160,1974,2017,183,24794,2887,2.041,4.011,10,10236600,0,0,1970,535,17,518,0.14344262295082,7897.74575099754,0.000396692655018873,"CS",1,NA,"CS"
"0YlwI5MAAAAJ","BRUCE TIDOR ","CS",53,111,1983,2016,143,12867,3445,7.033,4.846,3,949995,33,7134015,1980,330,7,323,0.550335570469799,3641.99937597478,0.000264773213370857,"XD",1,2007,"CS"
"0zrqo3B-66wC","HAKIM WEATHERSPOON ","CS",23,41,1999,2016,61,6617,2974,1.145,5.23,7,4284421,0,0,1995,302,22,280,0.115702479338843,7428.73571389213,0.000443990083095398,"CS",6,NA,"CS"
"0zVOVQ0AAAAJ","JIANER CHEN ","CS",44,122,1991,2016,204,5987,438,0.998,3.343,9,1854801,0,0,1990,358,11,347,0.180645161290323,12252.8830404657,0.000321205046510018,"XD",40,2015,"CS"
"0zZnyMEAAAAJ","WILLIAM T FREEMAN ","CS",87,200,1981,2016,235,45850,3451,4.756,3.706,7,3089222,0,0,1980,327,16,311,0.125,4519.17549832626,0.000398331815403086,"CS",1,NA,"CS"
"0_vvBZkAAAAJ","EITAN GRINSPUN ","CS",32,62,2001,2016,75,4588,1011,3.808,4.387,10,3510104,0,0,1995,218,13,205,0.110236220472441,3782.68754480436,0.000338880520704501,"CS",15,NA,"CS"
"10HSX90AAAAJ","JULES WHITE ","CS",23,52,2005,2016,102,2103,138,1.856,4.157,0,0,0,0,2005,168,5,163,0.128,551.545005133787,0.000148757720681198,"CS",56,NA,"CS"
"117h3CAAAAAJ","STEPHEN B MONTGOMERY ","BIO",36,49,2003,2016,70,9391,2145,15.71,16.914,0,0,2,439435,2000,739,21,718,0.522251308900524,7887.20886264166,0.000494694130311824,"XD",1,2012,"BIO"
"11imIQsAAAAJ","CAROL M ANDERSON ","BIO",9,9,1997,2015,12,1771,492,4.466,6.333,0,0,11,5321738,1995,72,0,72,0.111111111111111,0,0,"BIO",34,NA,"BIO"
"11NcM2EAAAAJ","DONG XUAN ","CS",37,83,1999,2016,113,4972,600,2.165,4.832,7,2173025,0,0,1995,278,5,273,0.186915887850467,981.583387600079,0.000178594946878298,"CS",34,NA,"CS"
"11RguYAAAAAJ","NATHAN MICHAEL SPRINGER ","BIO",39,67,2000,2017,80,7030,2169,7.748,10.363,8,10274853,0,0,2000,568,20,548,0.543046357615894,14554.7840185767,0.000550702780333746,"XD",34,2009,"BIO"
"14K6V00AAAAJ","MELISSA M ROLLS ","BIO",25,35,1993,2016,38,2587,366,8.613,4.974,0,0,12,2229859,1990,124,0,124,0.04,0,0,"BIO",42,NA,"BIO"
